Trade No,Trade Type,Str Prc,Date,Day,Entry Time,Exit Time,Entry Price,Exit Price,Hedge cost,Net trade pts
1,Short,15400,31-May,Mon,09.21,12.37,198.2,226.8,-0.37,-28.23
2,Short,18000,06-01,Fri,09.21,01.03,238.6,263.05,-4.55,-19.9
3,Long,18000,06-01,Fri,01.08,03.10,257.4,237.9,0,-19.5
4,Short,17900,17-01,Tue,09.25,03.13,362.8,207.95,2.4,152.45
5,Short,18100,18-01,Wed,09.21,03.10,137.9,117.1,1.3,19.5
6,Short,18100,19-01,Thu,09.21,03.10,91.1,19.3,2.2,69.6
7,Short,18100,20-01,Fri,09.21,03.10,201.55,183.15,1,17.4
8,Short,18100,23-01,Mon,09.21,03.10,160.65,134.45,1.55,24.65
9,Short,18200,24-01,Tue,09.45,01.54,168.45,134.65,0.6,33.2
10,Long,18200,24-01,Tue,01.54,03.01,134.65,107.95,0,-26.7
11,Short,18100,25-01,Wed,09.21,10.02,82.4,130.75,-0.5,-47.85
12,Long,18100,25-01,Wed,10.04,12.47,131.75,173.25,0,41.5
13,Short,18000,25-01,Wed,12.55,03.03,82.4,120.6,1,-39.2
14,Long,17800,27-01,Fri,11.14,03.01,381.5,383.95,0,2.45
15,Short,17600,31-01,Tue,09.21,03.10,347.75,302.8,16.7,28.25
16,Short,17800,01-02,Wed,09.21,02.44,284.9,277.85,9.65,-2.6
17,Long,17800,01-02,Wed,02.48,03.01,360.3,336.95,0,-23.35
18,Short,17500,02-02,Thu,09.21,03.10,154.15,120.3,5.15,28.7
19,Long,17700,03-02,Fri,09.21,09.21,275.15,275.15,0,0
20,Short,17700,03-02,Fri,09.22,03.10,278.15,282.25,7.69,-11.79
21,Short,17800,06-02,Mon,09.21,03.10,222.6,202,5.15,15.45
22,Short,17700,07-02,Tue,09.21,03.10,213.05,170.35,2.83,39.87
23,Short,17800,08-02,Wed,09.41,03.10,163.4,132.2,0.95,30.25
24,Short,17800,09-02,Thu,09.21,01.51,98.85,96.95,1.4,0.5
25,Long,17800,09-02,Thu,01.59,03.10,101.85,94.05,0,-7.8
26,Short,17800,10-02,Fri,09.28,03.10,214,195.25,2.65,16.1
27,Short,17900,13-02,Mon,09.21,10.07,178.6,232.55,-4.48,-49.47
28,Short,17800,14-02,Tue,09.21,12.21,161.8,183.7,0.55,-22.45
